profile_pic,username,date,comment
busan_tii's profile picture,busan_tii,175w,?? bisa aja Saaih
9921d.j's profile picture,9921d.j,174w,?? buat km !
_fatners.jakarta_25's profile picture,_fatners.jakarta_25,174w,?? percaya ngga yaa
bird_nest_story's profile picture,bird_nest_story,174w,??captionnya ??
abr.furniture08's profile picture,abr.furniture08,174w,??mantap@ mas broo sukses selalu
fatner_lpg's profile picture,fatner_lpg,173w,"""paha nya masuk"" , ""iya paha nya masuk ,tapi badannya kaga"" ???? , capek banget ????????"
_cntkaptrrnd's profile picture,_cntkaptrrnd,174w,[slap]
idahutahaean's profile picture,idahutahaean,169w,@alsitaputri gas mak
zahra_nur_s's profile picture,zahra_nur_s,174w,@antika_srii ??
renall_ellmanda's profile picture,renall_ellmanda,174w,@paulpogba
aini_rany's profile picture,aini_rany,174w,@saaihalilintar giveaway donk adee..siapa tau saya dapat heeeee
azizahnoeyz's profile picture,azizahnoeyz,174w,@saaihalilintar kamu pinter banget ??
audinatalii's profile picture,audinatalii,174w,@saaihalilintar kenapa cute bgt si bb
almusyaqilla's profile picture,almusyaqilla,174w,@saaihalilintar Kok mirip banget ya sma bang @thariqhalilintar ????
decc_ssyy's profile picture,decc_ssyy,173w,#
nissa_2942's profile picture,nissa_2942,174w,Aaa....kenapa km gemes sekali ????
ainiaggrni's profile picture,ainiaggrni,173w,Aaaa cintah
__keyydump's profile picture,__keyydump,173w,AAAAAA GEMES GEMESSSSSSSSSS
saviraa.zk's profile picture,saviraa.zk,173w,Aaaaaa omg
rhmaallyaa's profile picture,rhmaallyaa,174w,Aaaaaaaaaa...Miss you hey
eli.cirebon16's profile picture,eli.cirebon16,173w,Ade arsya ganteng pake bgt??
n_u28's profile picture,n_u28,173w,Adek arsya mirip banget dengan song joong ki. ??
mantili03's profile picture,mantili03,173w,Adek gemesin bnger
silvamislaena's profile picture,silvamislaena,173w,adek.... gumush banget cih sama abang saaihnya.. ??????
ais.yah20's profile picture,ais.yah20,165w,Adeuhhhh @saaihalilintar
afinarizkiaphotography's profile picture,afinarizkiaphotography,173w,"Adudu uncle saaih ???????? yuk bisa yuk pulang ke Indonesia, sebentar lagi ponakannya bakal hadir loh ??????????????????????????"
fira.aulia14's profile picture,fira.aulia14,174w,aduh bang saih????
cacasilva_0609's profile picture,cacasilva_0609,168w,Aduhhhh sayangnya akuu????
